Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio,METRIC.Recall.Lower,METRIC.Recall.Upper,METRIC.Precision.Lower,METRIC.Precision.Upper,METRIC.Frac_NA.Lower,METRIC.Frac_NA.Upper
SNP,*,*,PASS,*,QUAL,*,0.94865,0.975104,0.053966,0.961695,75610,3209,0.000000,3641960,2451945.000000,1190769.000000,2164504.000000,1396734.000000,2.05912733704,1.54968948991,3454945,2333112.000000,1122499.000000,2111077.000000,1342807.000000,2.07849806548,1.5721373213,187015,118833.000000,68270.000000,53427.000000,53927.000000,1.7406327816,0.99072820665,3744146,2504988.000000,1239943.000000,2294940.000000,1447983.000000,2.02024447898,1.58492192243,3453906,2332791.000000,1121781.000000,2111751.000000,1341094.000000,2.0795422636,1.57464801125,88183,57791.000000,30425.000000,13548.000000,74595.000000,1.89945768283,0.181620752061,202057,114406.000000,87737.000000,169641.000000,32294.000000,1.30396525981,5.25301913668,0.948422870901,0.948876221605,0.974941592725,0.975266109512,0.0537375877934,0.0541953245224
SNP,*,hgnc_genes,PASS,*,QUAL,*,0.969909,0.984451,0.049165,0.977126,588,31,63625721.000000,49749,35430.000000,14327.000000,30509.000000,18645.000000,2.47295316535,1.63631000268,48252,34413.000000,13847.000000,30033.000000,18207.000000,2.48523145808,1.6495304004,1497,1017.000000,480.000000,476.000000,438.000000,2.11875,1.08675799087,51541,36548.000000,15004.000000,32425.000000,19101.000000,2.43588376433,1.69755510183,48245,34411.000000,13842.000000,30038.000000,18195.000000,2.48598468429,1.6508931025,762,536.000000,226.000000,190.000000,572.000000,2.37168141593,0.332167832168,2534,1601.000000,936.000000,2197.000000,334.000000,1.71047008547,6.57784431138,0.968380289061,0.97138292318,0.983327017506,0.985518167012,0.0473234001953,0.0510567163529
SNP,*,hgnc_genes_A1BG,PASS,*,QUAL,*,1.0,1.0,0.0,1.0,0,0,1722.000000,1,1.000000,0.000000,0.000000,1.000000,,0.0,1,1.000000,0.000000,0.000000,1.000000,,0.0,0,0.000000,0.000000,0.000000,0.000000,,,1,1.000000,0.000000,0.000000,1.000000,,0.0,1,1.000000,0.000000,0.000000,1.000000,,0.0,0,0.000000,0.000000,0.000000,0.000000,,,0,0.000000,0.000000,0.000000,0.000000,,,0.025,1.0,0.025,1.0,0.0,0.975
SNP,*,hgnc_genes_A1CF,PASS,*,QUAL,*,1.0,1.0,0.0,1.0,0,0,9517.000000,9,6.000000,3.000000,1.000000,8.000000,2.0,0.125,9,6.000000,3.000000,1.000000,8.000000,2.0,0.125,0,0.000000,0.000000,0.000000,0.000000,,,9,6.000000,3.000000,1.000000,8.000000,2.0,0.125,9,6.000000,3.000000,1.000000,8.000000,2.0,0.125,0,0.000000,0.000000,0.000000,0.000000,,,0,0.000000,0.000000,0.000000,0.000000,,,0.66373288312,1.0,0.66373288312,1.0,0.0,0.33626711688
SNP,*,hgnc_genes_A2M,PASS,*,QUAL,*,1.0,1.0,0.0,1.0,0,0,4844.000000,4,3.000000,1.000000,3.000000,1.000000,3.0,3.0,4,3.000000,1.000000,3.000000,1.000000,3.0,3.0,0,0.000000,0.000000,0.000000,0.000000,,,4,3.000000,1.000000,3.000000,1.000000,3.0,3.0,4,3.000000,1.000000,3.000000,1.000000,3.0,3.0,0,0.000000,0.000000,0.000000,0.000000,,,0,0.000000,0.000000,0.000000,0.000000,,,0.397635364384,1.0,0.397635364384,1.0,0.0,0.602364635616
SNP,*,hgnc_genes_A2ML1,PASS,*,QUAL,*,1.0,1.0,0.0,1.0,0,0,5274.000000,11,10.000000,1.000000,5.000000,6.000000,10.0,0.833333333333,11,10.000000,1.000000,5.000000,6.000000,10.0,0.833333333333,0,0.000000,0.000000,0.000000,0.000000,,,11,10.000000,1.000000,5.000000,6.000000,10.0,0.833333333333,11,10.000000,1.000000,5.000000,6.000000,10.0,0.833333333333,0,0.000000,0.000000,0.000000,0.000000,,,0,0.000000,0.000000,0.000000,0.000000,,,0.715085847082,1.0,0.715085847082,1.0,0.0,0.284914152918
SNP,*,hgnc_genes_A3GALT2,PASS,*,QUAL,*,1.0,1.0,0.0,1.0,0,0,1023.000000,2,0.000000,2.000000,2.000000,0.000000,0.0,,2,0.000000,2.000000,2.000000,0.000000,0.0,,0,0.000000,0.000000,0.000000,0.000000,,,2,0.000000,2.000000,2.000000,0.000000,0.0,,2,0.000000,2.000000,2.000000,0.000000,0.0,,0,0.000000,0.000000,0.000000,0.000000,,,0,0.000000,0.000000,0.000000,0.000000,,,0.158113883008,1.0,0.158113883008,1.0,0.0,0.841886116992
SNP,*,hgnc_genes_A4GALT,PASS,*,QUAL,*,1.0,1.0,0.0,1.0,0,0,2020.000000,4,3.000000,1.000000,4.000000,0.000000,3.0,,4,3.000000,1.000000,4.000000,0.000000,3.0,,0,0.000000,0.000000,0.000000,0.000000,,,4,3.000000,1.000000,4.000000,0.000000,3.0,,4,3.000000,1.000000,4.000000,0.000000,3.0,,0,0.000000,0.000000,0.000000,0.000000,,,0,0.000000,0.000000,0.000000,0.000000,,,0.397635364384,1.0,0.397635364384,1.0,0.0,0.602364635616
SNP,*,hgnc_genes_A4GNT,PASS,*,QUAL,*,1.0,1.0,0.0,1.0,0,0,1771.000000,5,3.000000,2.000000,0.000000,5.000000,1.5,0.0,5,3.000000,2.000000,0.000000,5.000000,1.5,0.0,0,0.000000,0.000000,0.000000,0.000000,,,5,3.000000,2.000000,0.000000,5.000000,1.5,0.0,5,3.000000,2.000000,0.000000,5.000000,1.5,0.0,0,0.000000,0.000000,0.000000,0.000000,,,0,0.000000,0.000000,0.000000,0.000000,,,0.478176249895,1.0,0.478176249895,1.0,0.0,0.521823750105
SNP,*,hgnc_genes_AAAS,PASS,*,QUAL,*,1.0,1.0,0.0,1.0,0,0,1840.000000,1,1.000000,0.000000,0.000000,1.000000,,0.0,1,1.000000,0.000000,0.000000,1.000000,,0.0,0,0.000000,0.000000,0.000000,0.000000,,,1,1.000000,0.000000,0.000000,1.000000,,0.0,1,1.000000,0.000000,0.000000,1.000000,,0.0,0,0.000000,0.000000,0.000000,0.000000,,,0,0.000000,0.000000,0.000000,0.000000,,,0.025,1.0,0.025,1.0,0.0,0.975
SNP,*,hgnc_genes_AACS,PASS,*,QUAL,*,1.0,1.0,0.0,1.0,0,0,3316.000000,1,1.000000,0.000000,1.000000,0.000000,,,1,1.000000,0.000000,1.000000,0.000000,,,0,0.000000,0.000000,0.000000,0.000000,,,1,1.000000,0.000000,1.000000,0.000000,,,1,1.000000,0.000000,1.000000,0.000000,,,0,0.000000,0.000000,0.000000,0.000000,,,0,0.000000,0.000000,0.000000,0.000000,,,0.025,1.0,0.025,1.0,0.0,0.975
SNP,*,hgnc_genes_AADAC,PASS,*,QUAL,*,1.0,1.0,0.0,1.0,0,0,1642.000000,2,2.000000,0.000000,2.000000,0.000000,,,2,2.000000,0.000000,2.000000,0.000000,,,0,0.000000,0.000000,0.000000,0.000000,,,2,2.000000,0.000000,2.000000,0.000000,,,2,2.000000,0.000000,2.000000,0.000000,,,0,0.000000,0.000000,0.000000,0.000000,,,0,0.000000,0.000000,0.000000,0.000000,,,0.158113883008,1.0,0.158113883008,1.0,0.0,0.841886116992
SNP,*,hgnc_genes_AADACL2,PASS,*,QUAL,*,1.0,1.0,0.0,1.0,0,0,1487.000000,1,0.000000,1.000000,0.000000,1.000000,0.0,0.0,1,0.000000,1.000000,0.000000,1.000000,0.0,0.0,0,0.000000,0.000000,0.000000,0.000000,,,1,0.000000,1.000000,0.000000,1.000000,0.0,0.0,1,0.000000,1.000000,0.000000,1.000000,0.0,0.0,0,0.000000,0.000000,0.000000,0.000000,,,0,0.000000,0.000000,0.000000,0.000000,,,0.025,1.0,0.025,1.0,0.0,0.975
