,ambi,fn,fp,total.query,total.truth,tp,type,unk,recall,recall2,precision,na,ambiguous,fp.region.size,fp.rate,sompyversion,sompycmd
1,10266,1465,4126,27486,14559,13094,SNVs,0,0.8993749570712274,0.8993749570712274,0.7603948896631824,0.0,0.37349923597467805,3099052603,1.331374625911763,som.py-v0.2.11,"/illumina/development/haplocompare/haplocompare-v0.2.11/bin/som.py -r /illumina/sync/software/unofficial/Isas/Genomes/Homo_sapiens/NCBI/GRCh38Decoy/Sequence/WholeGenomeFasta/genome.fa -o /illumina/build/stripes/OfficialBenchmarking/Somatic/Official-Somatic-External-V1/Isis-2.6.53.23-GRCh38Decoys/Subtractions/samplesheet_preciseAF-Curium-tl.2015.03.12.hg38-Official-Somatic-External-V1_AF-haplocompare-v0.2.11.tmp/HCC1187_PCR-free_rep3/5/sompy.SNV.pass /illumina/development/precise/prec-data/Curium-tl.2015.03.12.hg38/HCC1187-snvs.vcf.gz /illumina/build/stripes/OfficialBenchmarking/Somatic/Official-Somatic-External-V1/Isis-2.6.53.23-GRCh38Decoys/Subtractions/samplesheet_preciseAF-Curium-tl.2015.03.12.hg38-Official-Somatic-External-V1_AF-haplocompare-v0.2.11.tmp/HCC1187_PCR-free_rep3/5/sompy.SNV.passHCC1187_HCC1187_PCR-free_rep3_Normal_3_HCC1187_HCC1187_PCR-free_rep3_Tumor_3_G1_P1.somatic.snps.pvcf-preprocessed.vcf.gz -a /illumina/development/precise/prec-data/Curium-tl.2015.03.12.hg38/HCC1187-snvs.bed.gz --roc strelka.snv --bin-afs --af-binsize 0.2,0.2,0.2,0.2,0.2"
5,10266,1465,4126,27486,14559,13094,records,0,0.8993749570712274,0.8993749570712274,0.7603948896631824,0.0,0.37349923597467805,3099052603,1.331374625911763,som.py-v0.2.11,"/illumina/development/haplocompare/haplocompare-v0.2.11/bin/som.py -r /illumina/sync/software/unofficial/Isas/Genomes/Homo_sapiens/NCBI/GRCh38Decoy/Sequence/WholeGenomeFasta/genome.fa -o /illumina/build/stripes/OfficialBenchmarking/Somatic/Official-Somatic-External-V1/Isis-2.6.53.23-GRCh38Decoys/Subtractions/samplesheet_preciseAF-Curium-tl.2015.03.12.hg38-Official-Somatic-External-V1_AF-haplocompare-v0.2.11.tmp/HCC1187_PCR-free_rep3/5/sompy.SNV.pass /illumina/development/precise/prec-data/Curium-tl.2015.03.12.hg38/HCC1187-snvs.vcf.gz /illumina/build/stripes/OfficialBenchmarking/Somatic/Official-Somatic-External-V1/Isis-2.6.53.23-GRCh38Decoys/Subtractions/samplesheet_preciseAF-Curium-tl.2015.03.12.hg38-Official-Somatic-External-V1_AF-haplocompare-v0.2.11.tmp/HCC1187_PCR-free_rep3/5/sompy.SNV.passHCC1187_HCC1187_PCR-free_rep3_Normal_3_HCC1187_HCC1187_PCR-free_rep3_Tumor_3_G1_P1.somatic.snps.pvcf-preprocessed.vcf.gz -a /illumina/development/precise/prec-data/Curium-tl.2015.03.12.hg38/HCC1187-snvs.bed.gz --roc strelka.snv --bin-afs --af-binsize 0.2,0.2,0.2,0.2,0.2"
0,6867,832,2951,10651,1665,833,records.0.000000-0.200000,0,0.5003003003003003,0.5003003003003003,0.22013742071881606,0.0,0.6447281945357244,3099052603,0.9522264956533234,som.py-v0.2.11,"/illumina/development/haplocompare/haplocompare-v0.2.11/bin/som.py -r /illumina/sync/software/unofficial/Isas/Genomes/Homo_sapiens/NCBI/GRCh38Decoy/Sequence/WholeGenomeFasta/genome.fa -o /illumina/build/stripes/OfficialBenchmarking/Somatic/Official-Somatic-External-V1/Isis-2.6.53.23-GRCh38Decoys/Subtractions/samplesheet_preciseAF-Curium-tl.2015.03.12.hg38-Official-Somatic-External-V1_AF-haplocompare-v0.2.11.tmp/HCC1187_PCR-free_rep3/5/sompy.SNV.pass /illumina/development/precise/prec-data/Curium-tl.2015.03.12.hg38/HCC1187-snvs.vcf.gz /illumina/build/stripes/OfficialBenchmarking/Somatic/Official-Somatic-External-V1/Isis-2.6.53.23-GRCh38Decoys/Subtractions/samplesheet_preciseAF-Curium-tl.2015.03.12.hg38-Official-Somatic-External-V1_AF-haplocompare-v0.2.11.tmp/HCC1187_PCR-free_rep3/5/sompy.SNV.passHCC1187_HCC1187_PCR-free_rep3_Normal_3_HCC1187_HCC1187_PCR-free_rep3_Tumor_3_G1_P1.somatic.snps.pvcf-preprocessed.vcf.gz -a /illumina/development/precise/prec-data/Curium-tl.2015.03.12.hg38/HCC1187-snvs.bed.gz --roc strelka.snv --bin-afs --af-binsize 0.2,0.2,0.2,0.2,0.2"
0,807,171,407,5874,4831,4660,records.0.200000-0.400000,0,0.9646036017387705,0.9646036017387705,0.9196763370830866,0.0,0.13738508682328907,3099052603,0.13133045873632757,som.py-v0.2.11,"/illumina/development/haplocompare/haplocompare-v0.2.11/bin/som.py -r /illumina/sync/software/unofficial/Isas/Genomes/Homo_sapiens/NCBI/GRCh38Decoy/Sequence/WholeGenomeFasta/genome.fa -o /illumina/build/stripes/OfficialBenchmarking/Somatic/Official-Somatic-External-V1/Isis-2.6.53.23-GRCh38Decoys/Subtractions/samplesheet_preciseAF-Curium-tl.2015.03.12.hg38-Official-Somatic-External-V1_AF-haplocompare-v0.2.11.tmp/HCC1187_PCR-free_rep3/5/sompy.SNV.pass /illumina/development/precise/prec-data/Curium-tl.2015.03.12.hg38/HCC1187-snvs.vcf.gz /illumina/build/stripes/OfficialBenchmarking/Somatic/Official-Somatic-External-V1/Isis-2.6.53.23-GRCh38Decoys/Subtractions/samplesheet_preciseAF-Curium-tl.2015.03.12.hg38-Official-Somatic-External-V1_AF-haplocompare-v0.2.11.tmp/HCC1187_PCR-free_rep3/5/sompy.SNV.passHCC1187_HCC1187_PCR-free_rep3_Normal_3_HCC1187_HCC1187_PCR-free_rep3_Tumor_3_G1_P1.somatic.snps.pvcf-preprocessed.vcf.gz -a /illumina/development/precise/prec-data/Curium-tl.2015.03.12.hg38/HCC1187-snvs.bed.gz --roc strelka.snv --bin-afs --af-binsize 0.2,0.2,0.2,0.2,0.2"
0,388,78,199,5354,4845,4767,records.0.400000-0.600000,0,0.9839009287925696,0.9839009287925696,0.9599275070479258,0.0,0.07246918192005977,3099052603,0.0642131726990889,som.py-v0.2.11,"/illumina/development/haplocompare/haplocompare-v0.2.11/bin/som.py -r /illumina/sync/software/unofficial/Isas/Genomes/Homo_sapiens/NCBI/GRCh38Decoy/Sequence/WholeGenomeFasta/genome.fa -o /illumina/build/stripes/OfficialBenchmarking/Somatic/Official-Somatic-External-V1/Isis-2.6.53.23-GRCh38Decoys/Subtractions/samplesheet_preciseAF-Curium-tl.2015.03.12.hg38-Official-Somatic-External-V1_AF-haplocompare-v0.2.11.tmp/HCC1187_PCR-free_rep3/5/sompy.SNV.pass /illumina/development/precise/prec-data/Curium-tl.2015.03.12.hg38/HCC1187-snvs.vcf.gz /illumina/build/stripes/OfficialBenchmarking/Somatic/Official-Somatic-External-V1/Isis-2.6.53.23-GRCh38Decoys/Subtractions/samplesheet_preciseAF-Curium-tl.2015.03.12.hg38-Official-Somatic-External-V1_AF-haplocompare-v0.2.11.tmp/HCC1187_PCR-free_rep3/5/sompy.SNV.passHCC1187_HCC1187_PCR-free_rep3_Normal_3_HCC1187_HCC1187_PCR-free_rep3_Tumor_3_G1_P1.somatic.snps.pvcf-preprocessed.vcf.gz -a /illumina/development/precise/prec-data/Curium-tl.2015.03.12.hg38/HCC1187-snvs.bed.gz --roc strelka.snv --bin-afs --af-binsize 0.2,0.2,0.2,0.2,0.2"
0,186,79,102,868,659,580,records.0.600000-0.800000,0,0.8801213960546282,0.8801213960546282,0.8504398826979472,0.0,0.21428571428571427,3099052603,0.03291328449903049,som.py-v0.2.11,"/illumina/development/haplocompare/haplocompare-v0.2.11/bin/som.py -r /illumina/sync/software/unofficial/Isas/Genomes/Homo_sapiens/NCBI/GRCh38Decoy/Sequence/WholeGenomeFasta/genome.fa -o /illumina/build/stripes/OfficialBenchmarking/Somatic/Official-Somatic-External-V1/Isis-2.6.53.23-GRCh38Decoys/Subtractions/samplesheet_preciseAF-Curium-tl.2015.03.12.hg38-Official-Somatic-External-V1_AF-haplocompare-v0.2.11.tmp/HCC1187_PCR-free_rep3/5/sompy.SNV.pass /illumina/development/precise/prec-data/Curium-tl.2015.03.12.hg38/HCC1187-snvs.vcf.gz /illumina/build/stripes/OfficialBenchmarking/Somatic/Official-Somatic-External-V1/Isis-2.6.53.23-GRCh38Decoys/Subtractions/samplesheet_preciseAF-Curium-tl.2015.03.12.hg38-Official-Somatic-External-V1_AF-haplocompare-v0.2.11.tmp/HCC1187_PCR-free_rep3/5/sompy.SNV.passHCC1187_HCC1187_PCR-free_rep3_Normal_3_HCC1187_HCC1187_PCR-free_rep3_Tumor_3_G1_P1.somatic.snps.pvcf-preprocessed.vcf.gz -a /illumina/development/precise/prec-data/Curium-tl.2015.03.12.hg38/HCC1187-snvs.bed.gz --roc strelka.snv --bin-afs --af-binsize 0.2,0.2,0.2,0.2,0.2"
0,169,117,58,1203,1093,976,records.0.800000-1.000000,0,0.8929551692589204,0.8929551692589204,0.9439071566731141,0.0,0.1404821280133001,3099052603,0.01871539706807616,som.py-v0.2.11,"/illumina/development/haplocompare/haplocompare-v0.2.11/bin/som.py -r /illumina/sync/software/unofficial/Isas/Genomes/Homo_sapiens/NCBI/GRCh38Decoy/Sequence/WholeGenomeFasta/genome.fa -o /illumina/build/stripes/OfficialBenchmarking/Somatic/Official-Somatic-External-V1/Isis-2.6.53.23-GRCh38Decoys/Subtractions/samplesheet_preciseAF-Curium-tl.2015.03.12.hg38-Official-Somatic-External-V1_AF-haplocompare-v0.2.11.tmp/HCC1187_PCR-free_rep3/5/sompy.SNV.pass /illumina/development/precise/prec-data/Curium-tl.2015.03.12.hg38/HCC1187-snvs.vcf.gz /illumina/build/stripes/OfficialBenchmarking/Somatic/Official-Somatic-External-V1/Isis-2.6.53.23-GRCh38Decoys/Subtractions/samplesheet_preciseAF-Curium-tl.2015.03.12.hg38-Official-Somatic-External-V1_AF-haplocompare-v0.2.11.tmp/HCC1187_PCR-free_rep3/5/sompy.SNV.passHCC1187_HCC1187_PCR-free_rep3_Normal_3_HCC1187_HCC1187_PCR-free_rep3_Tumor_3_G1_P1.somatic.snps.pvcf-preprocessed.vcf.gz -a /illumina/development/precise/prec-data/Curium-tl.2015.03.12.hg38/HCC1187-snvs.bed.gz --roc strelka.snv --bin-afs --af-binsize 0.2,0.2,0.2,0.2,0.2"
0,6867,832,2951,10651,1665,833,SNVs.0.000000-0.200000,0,0.5003003003003003,0.5003003003003003,0.22013742071881606,0.0,0.6447281945357244,3099052603,0.9522264956533234,som.py-v0.2.11,"/illumina/development/haplocompare/haplocompare-v0.2.11/bin/som.py -r /illumina/sync/software/unofficial/Isas/Genomes/Homo_sapiens/NCBI/GRCh38Decoy/Sequence/WholeGenomeFasta/genome.fa -o /illumina/build/stripes/OfficialBenchmarking/Somatic/Official-Somatic-External-V1/Isis-2.6.53.23-GRCh38Decoys/Subtractions/samplesheet_preciseAF-Curium-tl.2015.03.12.hg38-Official-Somatic-External-V1_AF-haplocompare-v0.2.11.tmp/HCC1187_PCR-free_rep3/5/sompy.SNV.pass /illumina/development/precise/prec-data/Curium-tl.2015.03.12.hg38/HCC1187-snvs.vcf.gz /illumina/build/stripes/OfficialBenchmarking/Somatic/Official-Somatic-External-V1/Isis-2.6.53.23-GRCh38Decoys/Subtractions/samplesheet_preciseAF-Curium-tl.2015.03.12.hg38-Official-Somatic-External-V1_AF-haplocompare-v0.2.11.tmp/HCC1187_PCR-free_rep3/5/sompy.SNV.passHCC1187_HCC1187_PCR-free_rep3_Normal_3_HCC1187_HCC1187_PCR-free_rep3_Tumor_3_G1_P1.somatic.snps.pvcf-preprocessed.vcf.gz -a /illumina/development/precise/prec-data/Curium-tl.2015.03.12.hg38/HCC1187-snvs.bed.gz --roc strelka.snv --bin-afs --af-binsize 0.2,0.2,0.2,0.2,0.2"
0,807,171,407,5874,4831,4660,SNVs.0.200000-0.400000,0,0.9646036017387705,0.9646036017387705,0.9196763370830866,0.0,0.13738508682328907,3099052603,0.13133045873632757,som.py-v0.2.11,"/illumina/development/haplocompare/haplocompare-v0.2.11/bin/som.py -r /illumina/sync/software/unofficial/Isas/Genomes/Homo_sapiens/NCBI/GRCh38Decoy/Sequence/WholeGenomeFasta/genome.fa -o /illumina/build/stripes/OfficialBenchmarking/Somatic/Official-Somatic-External-V1/Isis-2.6.53.23-GRCh38Decoys/Subtractions/samplesheet_preciseAF-Curium-tl.2015.03.12.hg38-Official-Somatic-External-V1_AF-haplocompare-v0.2.11.tmp/HCC1187_PCR-free_rep3/5/sompy.SNV.pass /illumina/development/precise/prec-data/Curium-tl.2015.03.12.hg38/HCC1187-snvs.vcf.gz /illumina/build/stripes/OfficialBenchmarking/Somatic/Official-Somatic-External-V1/Isis-2.6.53.23-GRCh38Decoys/Subtractions/samplesheet_preciseAF-Curium-tl.2015.03.12.hg38-Official-Somatic-External-V1_AF-haplocompare-v0.2.11.tmp/HCC1187_PCR-free_rep3/5/sompy.SNV.passHCC1187_HCC1187_PCR-free_rep3_Normal_3_HCC1187_HCC1187_PCR-free_rep3_Tumor_3_G1_P1.somatic.snps.pvcf-preprocessed.vcf.gz -a /illumina/development/precise/prec-data/Curium-tl.2015.03.12.hg38/HCC1187-snvs.bed.gz --roc strelka.snv --bin-afs --af-binsize 0.2,0.2,0.2,0.2,0.2"
0,388,78,199,5354,4845,4767,SNVs.0.400000-0.600000,0,0.9839009287925696,0.9839009287925696,0.9599275070479258,0.0,0.07246918192005977,3099052603,0.0642131726990889,som.py-v0.2.11,"/illumina/development/haplocompare/haplocompare-v0.2.11/bin/som.py -r /illumina/sync/software/unofficial/Isas/Genomes/Homo_sapiens/NCBI/GRCh38Decoy/Sequence/WholeGenomeFasta/genome.fa -o /illumina/build/stripes/OfficialBenchmarking/Somatic/Official-Somatic-External-V1/Isis-2.6.53.23-GRCh38Decoys/Subtractions/samplesheet_preciseAF-Curium-tl.2015.03.12.hg38-Official-Somatic-External-V1_AF-haplocompare-v0.2.11.tmp/HCC1187_PCR-free_rep3/5/sompy.SNV.pass /illumina/development/precise/prec-data/Curium-tl.2015.03.12.hg38/HCC1187-snvs.vcf.gz /illumina/build/stripes/OfficialBenchmarking/Somatic/Official-Somatic-External-V1/Isis-2.6.53.23-GRCh38Decoys/Subtractions/samplesheet_preciseAF-Curium-tl.2015.03.12.hg38-Official-Somatic-External-V1_AF-haplocompare-v0.2.11.tmp/HCC1187_PCR-free_rep3/5/sompy.SNV.passHCC1187_HCC1187_PCR-free_rep3_Normal_3_HCC1187_HCC1187_PCR-free_rep3_Tumor_3_G1_P1.somatic.snps.pvcf-preprocessed.vcf.gz -a /illumina/development/precise/prec-data/Curium-tl.2015.03.12.hg38/HCC1187-snvs.bed.gz --roc strelka.snv --bin-afs --af-binsize 0.2,0.2,0.2,0.2,0.2"
